0 Animal Shark Head with Rounded Nose with Black Eyes with White Full Circle Glints Pattern
0 Name: 20512p01.dat
0 Author: Evert-Jan Boer [ejboer]
0 !LDRAW_ORG Unofficial_Part
0 !LICENSE Licensed under CC BY 4.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !CATEGORY Animal
0 !KEYWORDS Bricklink 20512pb01, Rebrickable 20512pr0001, Set 40710, Set 60379
0 !KEYWORDS Set 60419, Set 60453, Set 60456, Set 910040, Set 952406, Set 952503

0 !HISTORY 2016-03-18 {LEGO Digital Designer} Original part shape
0 !HISTORY 2023-06-09 [ejboer] File preparation for LDraw Parts Tracker

1 16 0 0 0 1 0 0 0 1 0 0 0 1 s\20512s01.dat
1 16 0 0 0 -1 0 0 0 1 0 0 0 1 s\20512s01.dat
1 16 0 0 0 1 0 0 0 1 0 0 0 1 s\20512p01s01.dat
1 16 0 0 0 -1 0 0 0 1 0 0 0 1 s\20512p01s01.dat

5 24 0 1.06 -48.26 0 .57 -48.6 3.63 1.49 -47.72 -3.63 1.49 -47.72
5 24 0 -2.97 -47.88 0 -5.04 -39.98 3.3 -3.13 -47.18 -3.3 -3.13 -47.18
5 24 0 -.07 -44.25 0 3.63 -40.62 3.44 -.05 -44.2 -3.44 -.05 -44.2
5 24 0 -2.86 -32.85 0 -1.51 -38.62 -8.25 -2.94 -31.44 8.25 -2.94 -31.44
5 24 0 7.66 -41.65 0 1.06 -48.26 3.31 1.96 -47.43 -3.31 1.96 -47.43
2 24 0 9.3 -34.12 0 9.54 -25.11
5 24 0 -5.04 -39.98 0 -6.88 -32.01 -6.23 -6.92 -31.13 6.23 -6.92 -31.13
5 24 0 -8.6 -21 0 -5.11 -21 -4.36 -5.11 -20.43 4.36 -5.11 -20.43
5 24 0 .01 -48.81 0 -.59 -48.88 -3.98 .93 -47.85 3.98 .93 -47.85
5 24 0 .57 -48.6 0 .01 -48.81 -3.63 1.49 -47.72 3.63 1.49 -47.72
5 24 0 -2.69 -48.4 0 -2.97 -47.88 -3.3 -3.13 -47.18 3.3 -3.13 -47.18
5 24 0 -1.64 -48.88 0 -2.22 -48.76 -3.69 -2.38 -47.99 3.69 -2.38 -47.99
5 24 0 -1.51 -38.62 0 -.07 -44.25 3.44 -.05 -44.2 -3.44 -.05 -44.2
5 24 0 3.63 -40.62 0 7.12 -36.8 -6.53 6.56 -37.18 6.53 6.56 -37.18
5 24 0 -.59 -48.88 0 -1.64 -48.88 -3.16 -1.76 -48.28 3.16 -1.76 -48.28
5 24 0 16.17 -32.38 0 7.66 -41.65 -6.17 15.88 -32.11 6.17 15.88 -32.11
5 24 0 -8.46 -24.01 0 -8.6 -21 4.36 -8.6 -20.43 -4.36 -8.6 -20.43
5 24 0 7.12 -36.8 0 9.3 -34.12 -5.56 9.28 -33.93 5.56 9.28 -33.93
5 24 0 -2.22 -48.76 0 -2.69 -48.4 -3.52 -2.86 -47.65 3.52 -2.86 -47.65
5 24 0 -6.88 -32.01 0 -8.46 -24.01 -6.23 -6.92 -31.13 6.23 -6.92 -31.13
5 24 0 -5.11 -21 0 -4.07 -27.05 -7.63 -4.13 -25.51 7.63 -4.13 -25.51
5 24 0 -4.07 -27.05 0 -2.86 -32.85 -8.25 -2.94 -31.44 8.25 -2.94 -31.44
5 24 0 9.54 -25.11 0 15.72 -25.11 3.18 18.4 -24.9 -3.18 18.4 -24.9
2 24 0 15.72 -25.11 0 16.17 -32.38
