0 Tile  2 x  2 with Silver Hufflepuff Crest on Bright Light Orange Pattern
0 Name: 3068bpzf.dat
0 Author: Gabriel Läufer [Dr.Bricktacular]
0 !LDRAW_ORG Unofficial_Part
0 !LICENSE Licensed under CC BY 4.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !CATEGORY Tile
0 !KEYWORDS Bricklink 3068pb2360, Brickowl 522274, Brickset 107485, Harry Potter
0 !KEYWORDS Hogwarts Castle: Sorting Hat Ceremony, Rebrickable 3068bpr0705
0 !KEYWORDS Set 76460, Sorcerer's Stone

0 // Pattern-Basepart
1 16 0 0 0 1 0 0 0 1 0 0 0 1 s\3068bs01.dat

0 // Pattern
4 0 14.52 0 -11.48 14.16 0 -12.08 14.56 0 -12.2 15 0 -11.48
4 0 4.28 0 5.16 2.24 0 2.8 2.92 0 2.32 5.12 0 3.6
4 0 13.08 0 -1.04 12.16 0 -.96 12.48 0 -1.44 13.04 0 -2
4 0 9.52 0 4 9.24 0 3.6 9.6 0 3 10.04 0 3.32
4 0 9.52 0 4 10.4 0 4.2 10.24 0 4.52 9.88 0 4.72
4 0 9.6 0 3 8.56 0 3.28 9 0 2.48 9.68 0 2.92
4 0 9.52 0 4 9.88 0 4.72 8.68 0 4.8 7.84 0 4.16
4 0 -1.16 0 -18 -1.44 0 -18.8 -.88 0 -18.68 .08 0 -18
4 0 -3.04 0 -16.96 -3.72 0 -17.44 -3.4 0 -17.68 -3.12 0 -17.72
4 0 -9.12 0 -8.76 -9.96 0 -8.76 -9.88 0 -9.2 -9.6 0 -9.48
4 0 4.68 0 7.84 4.6 0 7.08 5.04 0 7.16 5.4 0 7.84
3 0 5.4 0 7.84 5.04 0 7.16 5.44 0 7.08
4 0 5.4 0 7.84 5.44 0 7.08 6 0 6.88 6.52 0 7.48
4 0 7.6 0 7.48 6.68 0 6.72 7.52 0 6.72 7.96 0 6.84
4 0 10.2 0 8.88 10.16 0 9.6 9.52 0 9.6 9.4 0 8.88
4 0 11.08 0 10.08 11.52 0 9.36 12.16 0 9.88 12.6 0 10.44
4 0 11.08 0 10.08 12.6 0 10.44 12.8 0 10.96 10.48 0 11.48
4 0 10.48 0 11.48 12.8 0 10.96 12.88 0 11.44 12.8 0 11.84
4 0 12.8 0 11.84 12.64 0 12.24 12.2 0 12.64 10.48 0 11.48
4 0 10.48 0 11.92 12.2 0 12.64 11.2099 0 13.0174 10.16 0 13.16
4 0 9 0 12.8 10.08 0 12.32 10.16 0 13.16 9.4 0 13.4
4 0 9 0 12.8 9.4 0 13.4 8.72 0 13.72 8.28 0 13.16
4 0 7.72 0 13.52 8.28 0 13.16 8.08 0 14.16 7.68 0 14.56
4 0 4.44 0 17.04 3.52 0 16.6 4.28 0 16.32 5.4 0 16.56
4 0 6.76 0 15.56 6.12 0 16.08 6.2 0 15.08 7.68 0 14.56
4 0 5.12 0 15.88 6.12 0 16.08 5.4 0 16.56 4.28 0 16.32
4 0 3.52 0 16.6 4.44 0 17.04 3.24 0 17.44 2.6 0 16.84
4 0 1.32 0 17.68 .68 0 17.64 1.6 0 16.96 2.4 0 17.6
4 0 -7.68 0 15.36 -7 0 15.08 -7 0 15.68 -7.76 0 15.76
4 0 -1.68 0 -18.08 -2.32 0 -17.56 -2.36 0 -18.32 -2.16 0 -18.68
4 0 -3.56 0 -13.6 -4.2 0 -13.16 -4.36 0 -13.52 -4.32 0 -13.92
4 0 -4.44 0 -15.96 -4.08 0 -16.08 -3.96 0 -15.32 -4.64 0 -15.72
4 0 -3.84 0 -17.08 -3.72 0 -17.44 -3.04 0 -16.96 -3.76 0 -16.64
4 0 -3.96 0 -15.32 -4.6 0 -14.92 -4.72 0 -15.32 -4.64 0 -15.72
4 0 -8.04 0 -10.2 -8.6 0 -10.72 -8.28 0 -10.96 -7.96 0 -11
4 0 -3.76 0 -16.64 -3.04 0 -16.96 -2.92 0 -16.56 -3.48 0 -16.08
4 0 11.44 0 1.44 10.52 0 2.32 10.44 0 1.44 11.04 0 .8
4 0 -4.08 0 -11.76 -4.72 0 -11.76 -4.56 0 -12.48 -4.08 0 -12.48
4 0 -4 0 -14.32 -4.6 0 -14.92 -3.96 0 -15.32 -3.44 0 -14.8
4 0 -3.64 0 -12.64 -4.2 0 -13.16 -3.56 0 -13.6 -3.12 0 -13.2
4 0 -4.96 0 -11.84 -5.72 0 -12.12 -5.52 0 -12.44 -4.72 0 -11.76
4 0 -4.72 0 -11.76 -5.52 0 -12.44 -5.24 0 -12.6 -4.88 0 -12.6
4 0 -5.52 0 -10.96 -5.72 0 -11.56 -4.96 0 -11.84 -5 0 -11.56
4 0 -8.76 0 -9.44 -7.92 0 -9.16 -8.32 0 -8.48 -9.12 0 -8.76
4 0 -8.04 0 -10.2 -7.96 0 -11 -7.68 0 -10.92 -7.24 0 -10.52
4 0 -8.76 0 -10.24 -8.6 0 -10.72 -8.04 0 -10.2 -8.04 0 -9.56
4 0 -12 0 -5.44 -11.52 0 -5.96 -10.96 0 -5.4 -11.52 0 -4.88
4 0 -9.12 0 -8.76 -9.6 0 -9.48 -9.08 0 -9.52 -8.76 0 -9.44
4 0 -9.32 0 -5.96 -9.8 0 -6.28 -9.24 0 -6.8 -9.04 0 -6.6
4 0 -8.92 0 -8.28 -9.28 0 -7.6 -9.8 0 -8.32 -9.12 0 -8.76
4 0 -8.76 0 -5.4 -9.52 0 -4.88 -9.48 0 -5.64 -9.32 0 -5.96
4 0 -10 0 -7.12 -9.76 0 -7.4 -9.24 0 -6.8 -10 0 -6.56
4 0 .08 0 6.6 .04 0 6.28 .64 0 6.84 .24 0 7.4
4 0 -9.24 0 -1.64 -8.76 0 -1.2 -9.4 0 -1.44 -9.76 0 -1.64
4 0 -12.28 0 .76 -12.4 0 1.52 -12.64 0 1.4 -12.52 0 .68
4 0 -14.8 0 -.4 -14.88 0 .48 -15.4 0 0 -15.2 0 -.92
4 0 -10.96 0 -5.4 -11.16 0 -6.16 -10.8 0 -6.16 -10.44 0 -5.96
4 0 -10.96 0 -5.4 -10.44 0 -5.96 -10.32 0 -5.68 -10.2 0 -5.2
4 0 -10.64 0 -4.48 -10.88 0 -4.96 -10.2 0 -5.2 -10.04 0 -4.88
4 0 -12.76 0 -5.36 -12.84 0 -6.12 -12.44 0 -6.08 -12.16 0 -5.84
4 0 -13.72 0 -4.88 -13.48 0 -5.6 -12.84 0 -5.28 -13.08 0 -4.56
4 0 -12.4 0 -4.56 -12.76 0 -5.36 -12 0 -5.44 -11.52 0 -4.88
4 0 -15 0 -5 -14.72 0 -5.2 -14.44 0 -4.48 -15.2 0 -4.6
4 0 -14.12 0 -3.92 -14.44 0 -4.48 -13.72 0 -4.88 -13.16 0 -4.04
4 0 -15.32 0 -4.12 -14.64 0 -3.96 -14.68 0 -3.48 -15.4 0 -3.36
4 0 -12.64 0 1.4 -13.44 0 1.28 -13.32 0 .56 -12.52 0 .68
4 0 -16.48 0 -3 -16.16 0 -3.32 -15.8 0 -2.52 -16.48 0 -2.12
4 0 -13.76 0 .36 -13.76 0 1.16 -14.24 0 .92 -14.2 0 .08
4 0 -7.84 0 13.96 -7.6 0 12.92 -7.08 0 14.04 -7.12 0 14.44
4 0 14.16 0 -2.68 14.88 0 -2.96 14.8 0 -2.16 14.24 0 -1.92
4 0 14.92 0 -3.08 15.2 0 -3.8 15.56 0 -3.48 15.72 0 -3.16
4 0 15.68 0 -2.68 15.4 0 -2.36 14.88 0 -2.96 14.92 0 -3.08
3 0 15.68 0 -2.68 14.92 0 -3.08 15.72 0 -3.16
